EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-5.460,2.092,-15.977,-13.663,6.573,7.844,1.128,-5.201,-0.049,0.932,-0.428,-0.519,0.641,0.946,80.000,4949.000,1.000
-5.389,2.197,-11.997,-11.212,4.297,5.697,0.899,-4.310,-0.050,0.931,-0.429,-0.488,0.580,0.885,80.000,4950.000,1.000
-8.738,-0.177,-11.532,-12.419,-0.360,0.095,-5.152,-7.598,-0.048,0.931,-0.429,-0.458,0.580,0.977,80.000,4951.000,1.000
-8.537,1.205,-15.297,-15.622,0.031,0.866,-6.656,-10.231,-0.051,0.931,-0.429,-0.458,0.763,1.007,80.000,4952.000,1.000
-3.965,5.406,-16.035,-15.748,3.846,5.486,-3.113,-9.589,-0.051,0.931,-0.430,-0.488,0.732,0.977,80.000,4953.000,1.000
-0.839,5.691,-10.658,-11.966,3.763,3.622,-3.421,-8.394,-0.050,0.931,-0.428,-0.610,0.641,0.885,80.000,4954.000,1.000
-0.501,3.743,-5.456,-7.579,1.855,-2.102,-5.689,-6.445,-0.049,0.930,-0.430,-0.610,0.580,0.763,80.000,4955.000,1.000
1.115,7.077,-5.012,-4.882,5.185,-0.111,-2.219,-2.261,-0.049,0.931,-0.429,-0.427,0.641,0.824,80.000,4956.000,1.000
4.146,12.891,-5.636,-3.657,10.682,7.511,2.144,0.181,-0.048,0.931,-0.427,-0.397,0.702,0.824,80.000,4957.000,1.000
3.964,11.438,-3.936,-3.615,9.760,8.253,-0.260,-2.286,-0.050,0.931,-0.427,-0.305,0.793,0.763,80.000,4958.000,1.000
0.487,4.697,-2.875,-5.037,3.739,2.256,-4.064,-5.649,-0.049,0.932,-0.425,-0.366,0.732,0.732,80.000,4959.000,1.000
-0.362,3.692,-4.906,-6.224,1.472,1.435,-1.158,-4.788,-0.050,0.931,-0.426,-0.305,0.793,0.732,80.000,4960.000,1.000
3.073,8.917,-7.139,-4.970,4.169,7.259,4.348,-0.976,-0.050,0.932,-0.427,-0.458,0.732,0.641,80.000,4961.000,1.000
5.086,11.000,-7.013,-2.969,4.856,9.484,3.659,0.294,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4962.000,1.000
2.218,7.311,-5.900,-3.366,1.287,5.052,-2.086,-2.235,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4963.000,0.000
-2.763,2.432,-5.285,-5.601,-2.911,-0.827,-6.784,-5.046,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4964.000,0.000
-6.419,-0.967,-5.193,-7.140,-5.646,-5.089,-9.142,-6.239,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4965.000,0.000
-6.444,-0.860,-5.700,-6.923,-5.294,-4.790,-8.162,-5.522,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4966.000,0.000
-2.505,3.597,-5.800,-5.107,-1.183,1.175,-3.218,-2.905,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4967.000,0.000
0.501,6.611,-4.071,-3.087,1.550,4.899,-0.420,-1.194,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4968.000,0.000
-1.794,3.393,-2.077,-2.881,-1.227,0.456,-3.968,-2.677,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4969.000,0.000
-4.972,-0.091,-2.263,-3.904,-4.128,-3.861,-6.849,-4.181,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4970.000,0.000
-2.902,2.857,-3.232,-3.393,-1.306,0.309,-2.912,-2.266,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4971.000,0.000
1.127,7.243,-2.156,-1.254,2.681,5.886,1.525,0.306,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4972.000,0.000
0.461,5.663,-0.037,-0.333,1.341,3.552,-0.542,-0.359,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4973.000,0.000
-2.811,1.837,0.268,-1.209,-1.902,-1.292,-4.031,-2.145,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4974.000,0.000
-2.160,3.188,-0.651,-1.246,-0.523,0.760,-1.751,-1.103,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4975.000,0.000
1.403,7.254,-0.103,0.465,3.187,5.996,2.537,1.320,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4976.000,0.000
1.815,6.987,1.692,1.616,3.026,5.443,1.876,1.345,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4977.000,0.000
-0.801,3.733,2.302,1.095,0.275,1.295,-1.197,-0.178,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4978.000,0.000
-1.034,3.946,1.653,0.842,0.612,1.788,-0.220,0.222,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4979.000,0.000
1.694,7.197,1.874,2.080,3.589,5.998,3.328,2.201,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4980.000,0.000
2.701,7.762,3.257,3.234,4.177,6.607,3.633,2.666,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4981.000,0.000
0.902,5.345,3.992,3.043,2.165,3.534,1.317,1.563,-0.051,0.933,-0.427,-0.488,0.763,0.702,80.000,4982.000,0.000
0.820,5.121,3.618,2.864,2.225,3.297,1.628,1.714,-0.048,0.933,-0.423,-0.458,1.221,0.885,80.000,4983.000,1.000
